Time (seconds),X-Force,Y-Force,Z-Force,AbsoluteForce
21.15,112,48,-992,999
21.17,128,32,-960,969
21.19,112,48,-976,983
21.22,128,80,-976,987
21.24,128,32,-976,984
21.27,112,48,-976,983
21.29,112,32,-992,998
21.31,96,48,-976,981
21.34,112,32,-992,998
21.36,96,64,-976,982
21.39,96,32,-992,997
21.43,112,48,-976,983
21.45,128,48,-960,969
21.48,112,32,-976,982
21.50,128,48,-960,969
21.53,112,64,-976,984
21.55,112,48,-976,983
21.57,128,64,-976,986
21.60,128,48,-976,985
21.62,128,48,-976,985
21.65,112,32,-992,998
21.67,128,32,-992,1000
21.71,128,48,-976,985
21.74,96,48,-960,965
21.77,80,48,-992,996
21.79,112,48,-976,983
21.81,112,64,-976,984
21.84,112,48,-976,983
21.86,112,48,-960,967
21.89,112,64,-992,1000
21.91,112,48,-992,999
21.93,128,48,-960,969
21.96,112,64,-976,984
21.98,112,64,-976,984
22.03,144,48,-992,1003
22.05,96,48,-976,981
22.07,128,64,-992,1002
22.10,128,48,-976,985
22.12,112,64,-976,984
22.15,112,64,-976,984
22.17,128,64,-976,986
22.19,112,48,-976,983
22.22,112,48,-976,983
22.24,112,48,-976,983
22.27,112,48,-976,983
22.29,112,48,-992,999
22.33,96,48,-976,981
22.36,112,48,-976,983
22.38,96,32,-944,949
22.41,112,48,-976,983
22.43,112,64,-976,984
22.46,112,64,-992,1000
22.48,96,48,-976,981
22.51,128,64,-976,986
22.53,128,80,-976,987
22.55,112,64,-976,984
22.58,128,48,-976,985
22.62,112,48,-976,983
22.65,96,48,-976,981
22.67,128,64,-976,986
22.69,128,32,-976,984
22.72,128,80,-976,987
22.74,112,64,-992,1000
22.77,96,64,-992,998
22.79,112,48,-976,983
22.81,112,64,-976,984
22.84,128,64,-960,970
22.86,128,32,-1008,1016
22.89,128,48,-976,985
22.93,128,80,-976,987
22.95,112,48,-976,983
22.98,112,64,-976,984
23.00,112,48,-976,983
23.03,112,32,-992,998
23.05,128,48,-976,985
23.08,112,48,-976,983
23.10,112,64,-976,984
23.13,112,32,-976,982
23.15,128,48,-976,985
23.17,112,48,-976,983
23.20,128,64,-976,986
23.24,112,48,-976,983
23.27,112,64,-960,968
23.29,112,48,-976,983
23.31,112,48,-976,983
23.34,128,48,-976,985
23.36,112,48,-976,983
23.39,128,48,-976,985
23.41,112,48,-976,983
23.43,112,48,-976,983
23.46,112,48,-976,983
23.48,112,64,-960,968
23.53,128,48,-960,969
23.55,112,48,-976,983
23.57,112,48,-976,983
23.60,128,48,-976,985
23.62,112,80,-960,969
23.65,128,48,-976,985
23.67,128,64,-960,970
23.70,112,48,-992,999
23.72,112,48,-976,983
23.75,96,48,-960,965
23.77,112,48,-976,983
23.79,112,64,-960,968
23.84,128,64,-976,986
23.86,96,48,-992,997
23.89,112,48,-992,999
23.91,112,64,-992,1000
23.93,112,48,-960,967
23.96,96,48,-976,981
23.98,128,48,-976,985
24.01,112,48,-976,983
24.03,112,64,-992,1000
24.05,144,48,-976,987
24.08,96,48,-992,997
24.10,96,48,-976,981
24.15,112,64,-992,1000
24.17,112,64,-976,984
24.19,144,64,-992,1004
24.22,128,48,-976,985
24.24,96,48,-976,981
24.27,96,48,-976,981
24.29,128,64,-992,1002
24.31,112,64,-992,1000
24.34,112,48,-992,999
24.37,112,48,-976,983
24.39,112,48,-992,999
24.43,128,80,-976,987
24.46,112,64,-976,984
24.48,128,64,-960,970
24.51,128,64,-976,986
24.53,128,64,-960,970
24.55,128,48,-992,1001
24.58,128,48,-976,985
24.60,128,48,-976,985
24.63,112,64,-992,1000
24.65,128,48,-992,1001
24.67,96,64,-976,982
24.70,112,48,-976,983
24.74,128,32,-976,984
24.77,96,48,-976,981
24.79,128,64,-976,986
24.81,96,48,-992,997
24.84,112,64,-976,984
24.86,112,48,-976,983
24.89,144,64,-976,988
24.91,96,80,-976,983
24.93,96,32,-976,981
24.96,128,48,-976,985
24.98,128,48,-992,1001
25.01,128,48,-992,1001
25.05,112,48,-976,983
25.08,128,64,-976,986
25.10,112,64,-976,984
25.13,128,64,-976,986
25.15,128,32,-976,984
25.17,144,48,-960,971
25.20,112,32,-976,982
25.22,112,48,-976,983
25.25,128,48,-960,969
25.27,96,32,-992,997
25.29,144,48,-976,987
25.34,96,48,-976,981
25.36,96,64,-992,998
25.39,128,32,-976,984
25.41,128,64,-976,986
25.43,112,48,-992,999
25.46,112,48,-976,983
25.48,112,48,-992,999
25.51,112,64,-976,984
25.53,112,48,-960,967
25.55,112,48,-976,983
25.58,112,48,-992,999
25.60,96,64,-960,966
25.75,128,64,-976,986
25.78,112,64,-960,968
25.80,96,64,-960,966
25.83,96,48,-976,981
25.85,128,32,-976,984
25.87,128,64,-976,986
25.90,128,48,-976,985
25.92,128,48,-992,1001
25.95,96,64,-992,998
25.97,128,48,-976,985
25.99,112,48,-976,983
26.02,112,64,-992,1000
26.06,112,48,-976,983
26.09,112,32,-976,982
26.11,128,32,-944,953
26.13,128,48,-976,985
26.16,112,48,-976,983
26.18,112,48,-976,983
26.21,112,32,-976,982
26.23,128,48,-992,1001
26.25,112,48,-976,983
26.28,112,64,-976,984
26.30,96,32,-992,997
26.35,112,48,-976,983
26.37,112,64,-992,1000
26.39,112,48,-976,983
26.42,96,48,-976,981
26.45,112,32,-992,998
26.47,128,64,-976,986
26.49,96,48,-992,997
